,Unnamed: 0,Unnamed: 0.1,Creation date,Business Id,Location name,Group Id,Group name,Business Code,Address,City,Platform,Deleted,Timezone,Rating,Response date,template_used,Recommended,Response date.1,template_used.1,Number of comments,Rating.1,Response date.2,Langues,Content_clean,Response_clean,Response_1_clean,Response_2_clean,scores,compound,comp_score,Topic,topic_ntm,topic,topic label
3941,6152,6152,2022-04-18 13:11:23,565c8ee33440cd4d3f4819d3,Castorama,2214.0,EST,1470,4 rue René Cassin,Chalon Sur Saone,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-19 8:06:59,Avis remonté,,,,,,,FRENCH,castorama chalon sérieux soûl a chaque fois question employés repon rayon font bien conprendre con dérange entre discute mange chocolat club med quun magasin bricolage sui promoteur a chaque foi vais cher vo concurren si inpeu plus cher moins meilleur approche cleint,bonjour hakak sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée franck castorama,,,"{'neg': 0.336, 'neu': 0.547, 'pos': 0.117, 'compound': -0.8869}",-0.8869,tres negatif,1,Vendeurs,0,Magasin
3997,6249,6249,2022-04-17 12:36:07,565c8ee63440cd4d3f481a81,Castorama,2211.0,PARIS NORD,1506,11 boulevard De Grenelle,Paris 15,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-19 15:18:40,Mesures prises,,,,,,,FRENCH,trouver vendeur faut avoir patience toute épreuve quand trouver moitié linfo jai acheter perceuse pensez vendeur prévenu ny mèches non trop demander pire magasins,bonjour brigitte merci davoir pris temp faire part avis si regrettons visite mal passée lexpérience décrivez correspond absolument souhaitons client allons mettre place bonnes mesures remédier cordialement frederic castorama,,,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.6887}",-0.6887,tres negatif,1,Vendeurs,0,Magasin
4005,6258,6258,2022-04-17 10:26:49,58d398f1b12ff64e5d7e52c6,Castorama,2213.0,OUEST,1409,route D'Alençon,Le Mans,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-19 7:21:14,Avis remonté,,,,,,,FRENCH,jai appelé afin lon mette article côté faire perdre temp magasin dame laccueil dit débordés faudra passer rappeler demain puis raccroche nez très déçue refuser servir client nest normal surtout démarche faciliter choses plus acheté table extérieure semaine dernière personne nest venu maider charger voiture cétait lourd colis client attendais également commande venu maider merci,bonjour julie sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée lequipe castorama,,,"{'neg': 0.146, 'neu': 0.813, 'pos': 0.041, 'compound': -0.6674}",-0.6674,tres negatif,1,Vendeurs,2,livraison
4031,6302,6302,2022-04-16 21:08:04,565c8ee43440cd4d3f481a17,Castorama,2213.0,OUEST,1412,route nationale 10,Chambray Les Tours,GOOGLE_MY_BUSINESS,No,Europe/Paris,3.0,2022-03-20 9:00:23,Améliorer,,,,,,,FRENCH,acheter 15m carré pierre parement mur retrouve mal pierre retours certaines boîtes vendeur pu prévenir donc obligé racheter boîtes compléter perte dommage,bonjour remercions davoir posté retour afin daméliorer service bientôt merci visite arnaud castorama,,,"{'neg': 0.354, 'neu': 0.497, 'pos': 0.149, 'compound': -0.6369}",-0.6369,tres negatif,1,Vendeurs,0,Magasin
4043,6317,6317,2022-04-16 18:09:40,565c8ee63440cd4d3f481a7b,Castorama,2212.0,PARIS SUD,1458,route nationale 186,Fresnes,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-17 17:13:28,,,,,,,,FRENCH,cest catastrophe site dise simple placard cest stock drive 2h fois place faut commander rendezvous cest vais aller ailleurs chercher placard,bonjour antonio sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée eric castorama,,,"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.8225}",-0.8225,tres negatif,2,Vendeurs,0,Magasin
4062,6350,6350,2022-04-16 15:45:59,565c8ee53440cd4d3f481a49,Castorama,2218.0,SUD,1429,Les Semboules,Antibes,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-17 8:24:55,1-2-3 étoiles,,,,,,,FRENCH,pire entrepôt connaisse personnel apathique désagréable heure dattente marchandise récupérée,bonjour flavio insatisfait dernière visite magasin équipe souhaiterait discuter faire part inquiétudes remarques invite prendre contact responsables téléphone 0492917770 via service client national dont coordonnées trouvent lien httpsbitly3t62fea prenez soin,,,"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.8126}",-0.8126,tres negatif,1,Vendeurs,1,personnel
4083,6380,6380,2022-04-16 13:28:23,565c8ee43440cd4d3f481a0b,Castorama,2216.0,OCCITANIE,1450,zone d'activité commerciale De La Domitienne,Bèziers,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-21 7:54:26,,,,,,,,FRENCH,personne répond téléphone commande 2000 e signé 15 mar livraison prévu 10 avril 17 toujours rien sachant quavec férié pâques ça va reporter 20 avril plombier bloqué date chantier dit quoi sais toujours quand livraison prévue personne répond téléphone fait dit 23 semaines livraison fois signé réalité tout autre déçue vraiment,bonjour marie cretonou merci davoir pris temp écrire comprends mécontentement croyezle pourriezvous contacter directement via ladresse contactbezierscastoramafr communiquant numéro commande svp pourrai ainsi tenter donner visibilité solution encore pardon désagrément très vite lespère matthieu service relation client castorama béziers,,,"{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.8645}",-0.8645,tres negatif,2,Vendeurs,2,livraison
4093,6391,6391,2022-04-16 12:43:12,565c8ee63440cd4d3f481a7f,Castorama,2218.0,SUD,1511,3 rue D'André Bardon,Marseille,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-18 8:46:45,Avis remonté,,,,,,,FRENCH,extrêmement déçu service rendu commande cuisine mesure faite février 2022 devait être livré courant mar non seulement nai reçu commande jour constate quen plus plan travail abîmés proposeton remise 5 seulement matériel abîmé rien délai livraison supplémentaire cest honte manque professionnalisme évident a éviter,bonjour couroussa sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée philippe castorama,,,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.7171}",-0.7171,tres negatif,2,Vendeurs,2,livraison
4142,6464,6464,2022-04-16 0:30:10,565c8ee33440cd4d3f4819cf,Castorama,2217.0,AUVERGNE RHONE ALPES,1436,76 avenue Du Roussillon,Aubiere,GOOGLE_MY_BUSINESS,Yes,Europe/Paris,1.0,2021-06-15 15:46:11,Avis remonté,,,,,,,FRENCH,personnel désagréable dès quon demande renseignement nest jamais leurs rayon contre être troupeau discuter là ça va maîtrisent très bien vu autres commentaires reviennent régulièrement depuis très longtemps comprends problème persiste casto cest terminé autres concurrents beaucoup plus aimable serviable,bonjour isabelle sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée françois castorama,,,"{'neg': 0.171, 'neu': 0.796, 'pos': 0.033, 'compound': -0.7364}",-0.7364,tres negatif,1,Produits,1,personnel
4182,6535,6535,2022-04-15 13:43:13,565c8ee33440cd4d3f4819e1,Castorama,2218.0,SUD,1445,centre commercial Carrefour Grand Vitrolles,Vitrolles,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-19 8:53:42,Excuses,,,,,,,FRENCH,partage particulière mauvaise expérience jour déjà vécue lan passé jai pris rdv 13h30 venir chercher commande stupeur lorsque mari arrivé lheure rdv rien nétait prêt personne chargée préparer commande pause jusquà 14h pi encore après 45 minute dattente minforme commande nest complète certains article faudra déplace autre magasin cest inadmissible tout sans aucune marque sympathie personnel salarié soufflant pestant davoir interrompu pause castorama vitrolles plus jamais,bonjour merci avoir informé problème allons prendre mesures nécessaires afin désagrément reproduise plus présentons toutes excuse gêne occasionnée cordialement marion castorama,,,"{'neg': 0.191, 'neu': 0.735, 'pos': 0.074, 'compound': -0.856}",-0.856,tres negatif,2,Vendeurs,2,livraison
4189,6549,6549,2022-04-15 12:24:36,565c8ee53440cd4d3f481a3f,Castorama Rouen Barentin,2210.0,NORD,1488,centre commercial La Carbonnière,Barentin,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-16 6:08:13,,,,,,,,FRENCH,commande passée internet livraison domicile commande devait arriver entre 11h 14 h nai bougé chez vers 13h40 reçois mail disant colis point relais sachant livreur appelé jappelle sav dit soidisant livreur appeler plusieurs fois personne téléphone dit quelle peut rien faire doi aller chercher colis point relais malgré jai payé livraison domicile ça faute quand jai covid quil nest donc possible rende point relais répond quil faut jy aille malgré tout point relais loin donc cest mort sinon commande annuler non renvoyer non rembourser,bonjour océane remercions davoir pris temp partager remarques sincèrement désolés lexpérience souhaitons échanger sujet apporter réponsesvous pouvez prendre contact chef secteur ladresse mail suivante fabienleratcastoramafr réitérant toutes excuse souhaitons bonne journée léquipe castorama barentin,,,"{'neg': 0.084, 'neu': 0.89, 'pos': 0.025, 'compound': -0.6696}",-0.6696,tres negatif,2,Vendeurs,2,livraison
4217,6592,6592,2022-04-14 23:18:30,565c8ee53440cd4d3f481a43,Castorama,2214.0,EST,1478,150 route De Richwiller,Kingersheim,GOOGLE_MY_BUSINESS,Yes,Europe/Paris,1.0,2022-04-10 13:40:56,Solution cherchée,,,,,,,FRENCH,extrêmement déçu sav suite livraison commande élément dressing jai commandé arrivé endommagé mail castorama dit être désolé reconnait quil a problème demande si souhaite remboursement échange produit depuis plus rien plus nouvelles impossible finir lassemblage cause ça chambre fils capharnaüm depuis deux semaines lamentable,bonjour yves merci davoir pris temp faire part avis malgré cette expérience particulière assuré faisons maximum apporter solution tous client nhésitez contacter suite afin puissions échanger cordialement fabien castorama kingersheim,,,"{'neg': 0.193, 'neu': 0.752, 'pos': 0.055, 'compound': -0.7015}",-0.7015,tres negatif,2,Vendeurs,2,livraison
4219,6596,6596,2022-04-14 23:17:21,565c8ee53440cd4d3f481a4b,Castorama,2212.0,PARIS SUD,1456,20 rue De Gascogne,Olivet,GOOGLE_MY_BUSINESS,Yes,Europe/Paris,1.0,2022-03-22 16:57:59,Mauvaise expérience ,,,,,,,FRENCH,vt vt cest honte magasin jai cherché partout bach pr recouvrir terrasse ma envoyé dune allée a autre pire quatre employés casto discutait milieu allées jai demandé personne na bougé quelle honte magasin,bonjour madame remercions davoir pris temp partager remarques sincèrement désolés lexpérience établissement réitérant toutes excuse souhaitons bonne journée léquipe castorama,,,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.8519}",-0.8519,tres negatif,1,Vendeurs,0,Magasin
4253,6651,6651,2022-04-14 14:20:50,565c8ee63440cd4d3f481a7f,Castorama,2218.0,SUD,1511,3 rue D'André Bardon,Marseille,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-15 8:36:26,Attente,,,,,,,FRENCH,catastrophe 40minutes matériaux produit afficher 5 arrive caisse 20 caissière dit ah non jpense ben redéposez vendeur personne conseiller plus personnes vérifier prix larticle après 40minutes dattente toujours personnes conseiller autre produits juste poser larticle aurevoir déplorable,bonjour paola turcotti navré sentiment suite visite sachez faisons maximum rendre disponible face type situation nhésitez demander cadre permanence magasin pourra très certainement trouver solution tous ca merci davoir pris temp partager avis jespère expérience meilleure lors prochaine visite a bientôt léquipe castorama,,,"{'neg': 0.213, 'neu': 0.733, 'pos': 0.053, 'compound': -0.8173}",-0.8173,tres negatif,1,Vendeurs,0,Magasin
4275,6686,6686,2022-04-14 9:30:12,565c8ee53440cd4d3f481a51,Castorama,2214.0,EST,1443,28 avenue De La Foire Aux Vins,Colmar,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-20 8:12:45,,,,,,,,FRENCH,mi comme stock magasin alors quune fois place nest ca prime essaye faire commander mauvaise porte plus chère nest première fois cela arrive quelque chose mi comme magasin alors nest ca nétait écrit quil reste seulement peut expliquer quelle vendue juste linstant 18 nallait dire 18 porte vendu avant 11h comprends quon puisse mettre a jour stock chaque fois entant cest faute covid a bon do,bonjour gaetan sincèrement désolés dû faire face cette situation espérons lors prochaine venue pourrez constater éléments négatifs corrigés plaisir accueillir prochainement hauteur attentes bonne journée léquipe castorama,,,"{'neg': 0.177, 'neu': 0.788, 'pos': 0.035, 'compound': -0.8507}",-0.8507,tres negatif,2,Vendeurs,0,Magasin
4292,6708,6708,2022-04-14 5:14:37,565c8ee43440cd4d3f481a03,Castorama,2210.0,NORD,1410,422 avenue Du Général De Gaulle,Bondues,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-15 12:33:54,,,,,,,,FRENCH,nul dernière visite hyper décevante venue a 2 jours 18h magasin vide client acheter bulbes dété nai jamais pu prendre palette pleine entravant tête gondole où exposés jai beau poireauter 20 min petite fille après avoir demandé 2 vendeurs différents déplacer lobstacle transpalette repartie bredouille comme venue lindifférence totale vendeurs navaient lair bosser flux tendu pourtant cest vraiment détestable comme arrièregout relationclient élèves lycée pro font 1000 fois mieux jai finalement acheté plant dadizele lendemain vive floralux où personnel réactif poli serviable bref tire trait casto où faut trop demander,bonjour nono prenant connaissance message adressons excuse cette expérience négative sein magasin cela va lencontre tout souhaitons faire vivre client daccord contacter mail alexandremartecastoramafr afin den échanger davantage voir prendre rendez magasin satisfaction restant priorité très vite lespère cdt alexandre castorama,,,"{'neg': 0.139, 'neu': 0.785, 'pos': 0.076, 'compound': -0.7075}",-0.7075,tres negatif,1,Vendeurs,0,Magasin
4301,6729,6729,2022-04-13 21:38:24,565c8ee43440cd4d3f481a17,Castorama,2213.0,OUEST,1412,route nationale 10,Chambray Les Tours,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-14 6:19:00,Excuses,,,,,,,FRENCH,100 mètres plinthes prépeintes achetées déjà 15 plinthes peintes 30 mètres 6 plinthes toutes cloquées12 mètres impossible joindre conseiller téléphone 3 appels 12 minute dattente chaque appel puis ça raccroche cest sincèrement lamentable vais donc déplacer demander remboursement produits jajoute quil mest impossible joindre photo toujours message échec limportation photo vraiment dommage client puissent rendre compte,bonjour merci avoir informé problème allons prendre mesures nécessaires afin désagrément reproduise plus présentons toutes excuse gêne occasionnée rembourserons 6 plinthes laccueil magasin sans problème renseigne suite savoir si plinthes stock ainsi pourrez procéder léchange directement nhésitez contacter ladresse contacttourscastoramafr cordialement laurence castorama,,,"{'neg': 0.134, 'neu': 0.818, 'pos': 0.049, 'compound': -0.7627}",-0.7627,tres negatif,2,Vendeurs,2,livraison
4336,6785,6785,2022-04-13 13:15:31,565c8ee53440cd4d3f481a55,Castorama,2217.0,AUVERGNE RHONE ALPES,1424,route Du Paisy,Dardilly,GOOGLE_MY_BUSINESS,No,Europe/Paris,2.0,2022-04-15 13:16:48,Avis remonté,,,,,,,FRENCH,très déçus magasin très difficile trouver conseiller rayon na stock produits notés pourtant stock site nombreux trajets effectués révélés inefficaces prix lessence cest bien dommage venant dacheter maison acheté beaucoup choses chez dont récemment tondeuse salon jardin tondeuse défectueuse salon jardin déjà cassé 2 endroits dès déballage nhabitant côté magasin tentons depuis plusieurs jours avoir ligne injoignable attendons 30min avant quune personne réponde fait patienter quelques instant patiente encore 15 min cest long tout entendant personne discuter collègues derrière sans personne reprenne ligne cest franchement agaçant perte temp a assez duré orienterions vers dautres enseignes prochaines fois mettons quand 2 étoiles car aussi faire employés sérieux compétents,bonjour roxane sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée mariecapucine castorama,,,"{'neg': 0.196, 'neu': 0.739, 'pos': 0.065, 'compound': -0.9275}",-0.9275,tres negatif,2,Vendeurs,0,Magasin
4353,6812,6812,2022-04-13 8:43:11,565c8ee33440cd4d3f4819e1,Castorama,2218.0,SUD,1445,centre commercial Carrefour Grand Vitrolles,Vitrolles,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-14 8:24:36,Problème de contact,,,,,,,FRENCH,tel réponde jamais dise personnel congé maladie pffff franchement,bonjour josiane navré parvenu joindre sachez service client national également disposition pourra répondre téléphone toutes demandes lundi samedi 9h 20h 0974750174 prix dun appel local marion castorama,,,"{'neg': 0.415, 'neu': 0.585, 'pos': 0.0, 'compound': -0.607}",-0.607,tres negatif,2,Vendeurs,1,personnel
4355,6814,6814,2022-04-13 8:35:51,565c8ee33440cd4d3f4819e5,Castorama,2217.0,AUVERGNE RHONE ALPES,1437,aéroport De Lyon Bron Case 06,Bron,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-19 8:10:44,Avis remonté,,,,,,,FRENCH,3 semaines quon a commander article censé être récupérer drive 2h 3 semaines toujours rien part fait jai disant déjà récupérer commande magasin impossible joindre quand arrive après 20min dattente personne compétente expliquer situation fait perdre temp choses compliquées aucun mail suivi recommande absolument dommage quon puisse mettre 0 étoile,bonjour antonin sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée nathalie castorama,,,"{'neg': 0.174, 'neu': 0.756, 'pos': 0.07, 'compound': -0.7206}",-0.7206,tres negatif,2,Vendeurs,2,livraison
4360,6825,6825,2022-04-13 5:54:23,565c8ee43440cd4d3f481a11,Castorama,2210.0,NORD,1461,ZAC Du Pont Loby,Dunkerque,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-14 5:29:38,Attente,,,,,,,FRENCH,mauvaise expérience magasin ny a aucune organisation 2h dattente retrait marchandises parce produits retrouvés carrelage enfin récupère 17 paquets carrelage déballant chez maperçois quil a 2 type carrelage différents jour commande meuble devait être livré chez livré mauvaise adresse 10km chez bilan grosse demi journée perdue bonnes marchandises livré bonne adresse faut prévois autre journée aller rendre article vont tout ça seule fois cest trop,bonjour monsieur navrée sentiment suite expérience chez sachez faisons maximum rendre disponible face type situation nhésitez demander cadre permanence magasin pourra très certainement trouver solution tous ca merci davoir pris temp partager avis jespère expérience meilleure lors prochaine visite a bientôt léquipe castorama,,,"{'neg': 0.177, 'neu': 0.741, 'pos': 0.082, 'compound': -0.8221}",-0.8221,tres negatif,2,Vendeurs,0,Magasin
4389,6875,6875,2022-04-12 17:15:02,565c8ee33440cd4d3f4819db,Castorama,2211.0,PARIS NORD,1501,1 avenue Du Général Leclerc,Pierrelaye,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-21 13:43:28,Mauvaise expérience ,,,,,,,FRENCH,service client livraison fuir jai passé commande dabri jardin demande livraison rappelle créneau horaire laissant numéro téléphone numéro téléphone injoignable jai tenté cinquantaine fois rends bout dune semaine tentative vendeurs nonchalants lécoute mauvaise foi quant disponibilité leurs ligne jai attendre 3 semaines faire 2 allers retours magasin lon daigne livrer cela sans sexcuser bien évidemment a fuir fuir passerai plus aucune commande chez ni livraison ni magasin,bonjour setti bnm remercions davoir pris temp partager remarques sincèrement désolés lexpérience ave z établissement réitérant toutes excuse souhaitons bonne journée léquipe castorama,,,"{'neg': 0.181, 'neu': 0.765, 'pos': 0.054, 'compound': -0.8293}",-0.8293,tres negatif,2,Vendeurs,2,livraison
4400,6890,6890,2022-04-12 15:44:52,565c8ee53440cd4d3f481a4f,Castorama,2210.0,NORD,1477,Centre Commercial,Haubourdin,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-13 7:06:05,Solution cherchée,,,,,,,FRENCH,attention escroquerie service location véhicule après avoir loué camionnette 05 janvier 2022 fait prélever 400 sans scrupule ni preuve nayant connu aucun incident ni accident ni dommage réclame vainement remboursement fonds depuis 3 mois profondément scandaleuse lentreprise daigne répondre nai jamais connu tel comportement méprisant,bonjour merci davoir pris temp faire part avis malgré cette expérience particulière assuré faisons maximum apporter solution tous client nhésitez faire part suite afin puissions échanger mail jenniferroetynckcatorama téléphone 0320227496 cordialement jennifer castorama,,,"{'neg': 0.202, 'neu': 0.684, 'pos': 0.114, 'compound': -0.7737}",-0.7737,tres negatif,2,Vendeurs,2,livraison
4419,6921,6921,2022-04-12 11:24:28,565c8ee53440cd4d3f481a31,Castorama,2216.0,OCCITANIE,1435,42 chemin Du Capouchiné,Nîmes,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-18 17:05:16,Avis remonté,,,,,,,FRENCH,pire site commander ligne commande annuler retarder rien stock alors a tous magasin livraison jen parle ca arrive abimer retard quand appels tombe plateforme a letranger font attendre heure raccrocher nez,bonjour lucky_ sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée sébastien castorama,,,"{'neg': 0.265, 'neu': 0.697, 'pos': 0.038, 'compound': -0.8176}",-0.8176,tres negatif,2,Vendeurs,2,livraison
4461,6996,6996,2022-04-11 18:40:42,565c8ee53440cd4d3f481a43,Castorama,2214.0,EST,1478,150 route De Richwiller,Kingersheim,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-11 20:44:11,,,,,,,,FRENCH,non convaincu fait mauvaises expériences passé décide retourner magasin kingersheim afin dacheter balançoire fille repérée site internet arrivé magasin sollicite vendeur prend charge commande demander patienter afin récupérer colis attente 35 min a réception colis mexplique constate derniers très endommagés pluie grande partie troués carton trempé re scotché multiple endroits mets confiance déballage personne conseille demander remise caisse aucune aide déplacer charriots très lourds imposants arrivé caisse aucune remise nest possible remet place quel service client inadapté impersonnel manque professionnalisme quel déception reviendrai plus julien,bonjour marine zurcher sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée fabien castorama kingersheim,,,"{'neg': 0.168, 'neu': 0.738, 'pos': 0.094, 'compound': -0.6865}",-0.6865,tres negatif,2,Vendeurs,2,livraison
4485,7031,7031,2022-04-11 15:15:21,565c8ee33440cd4d3f4819e7,Castorama,2215.0,NOUVELLE AQUITAINE,1459,ZAC De Belle Aire,Aytre,GOOGLE_MY_BUSINESS,No,Europe/Paris,4.0,2022-03-08 18:18:48,1-2-3 étoiles,,,,,,,FRENCH,rochelle après mauvaise expérience commande jai loccasion déchanger responsable a su apporter solution problématique,bonjour maxime barbin semblez déçu magasin équipes aimeraient savoir plus nhésitez donc rencontrer membre direction lors prochaine visite satisfaction priorité cœur partager proposer solution adaptée a très bientôt léquipe decastorama,,,"{'neg': 0.328, 'neu': 0.556, 'pos': 0.116, 'compound': -0.6369}",-0.6369,tres negatif,2,Vendeurs,2,livraison
4510,7086,7086,2022-04-10 23:53:37,565c8ee63440cd4d3f481a81,Castorama,2211.0,PARIS NORD,1506,11 boulevard De Grenelle,Paris 15,GOOGLE_MY_BUSINESS,Yes,Europe/Paris,1.0,2022-03-16 13:28:59,Excuses,,,,,,,FRENCH,vendeurs aider indication très peu claires cest 2eme fois demande renseignement vendeur indique rayon loin quon trouve rien retourne chercher autre vendeur celuilà dit ny a produit ke magasin chaque fois heures perdues tourner rien caissière longues tress très mal polie peut ouvrir bouche ni dire prix payer ni dire quon peut mettre carte enfin après 5 min dit terminal paiement marche quon commence prendre article lève tête classeur commence sinquiéter quon a payer secours,bonjour merci avoir informé problème allons prendre mesures nécessaires afin désagrément reproduise plus présentons toutes excuse gêne occasionnée cordialement frederic castorama,,,"{'neg': 0.146, 'neu': 0.779, 'pos': 0.074, 'compound': -0.6248}",-0.6248,tres negatif,1,Vendeurs,0,Magasin
4513,7089,7089,2022-04-10 23:52:16,565c8ee43440cd4d3f4819ff,Castorama,2213.0,OUEST,1481,rue Marcelin Berthelot,Vannes,GOOGLE_MY_BUSINESS,Yes,Europe/Paris,1.0,2022-02-12 16:01:30,2/3 étoiles (sans commentaire) ,,,,,,,FRENCH,décevant désastreux manque professionnalisme connaissance embaucher gen nont travaillé métier après sétonne gen commande internet,bonjour fardel nhésitez contacter dire navez aimé lors visite afin lon puisse échanger cest grâce lon meilleurs demain plaisir déchanger revoir sein castorama léquipe castorama,,,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.7096}",-0.7096,tres negatif,1,Vendeurs,2,livraison
4541,7138,7138,2022-04-10 14:35:11,565c8ee23440cd4d3f4819bd,Castorama,2211.0,PARIS NORD,1479,90 avenue Henri Barbusse,Les-Clayes-Sous-Bois,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-15 18:09:27,Avis remonté,,,,,,,FRENCH,met étoile parce obligé car magasin direction vraiment nul nacceptant amis chiens sachant si ramène chien cest quil gentil laccueil mautorise mettre chien chariot fois magasin sécurité dit sortir car certaines personnes peur précise chien berger allemand plus gentil certaines personnes cette terre comme gen plaindre trouve inadmissible sachant quà castorama chambourcy acceptent sans soucis marchent sol besoin mettre vieux chariot sal quest plus ici a plaisir recommande tout magasin,bonjour michaella comprenons mécontentement prenons compte commentaire néanmoins cette réglementation vigueur toutes enseignes recevant public seuls chiens guide personne non voyante autorisées bonne journée vanessa castorama,,,"{'neg': 0.204, 'neu': 0.675, 'pos': 0.121, 'compound': -0.6059}",-0.6059,tres negatif,1,Vendeurs,0,Magasin
4545,7143,7143,2022-04-10 13:51:46,565c8ee53440cd4d3f481a35,Castorama,2217.0,AUVERGNE RHONE ALPES,1454,rue Denis Papin,Bourgoin Jallieu,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-10 14:21:57,,,,,,,,FRENCH,vendeurs blasés incompétents matériel qualité très moyenne attente caisse trop longue ny retournerai,bonjour christophe navré sentiment suite visite sachez faisons maximum rendre disponible face type situation nhésitez demander cadre permanence magasin pourra très certainement trouver solution tous ca merci davoir pris temp partager avis jespère expérience meilleure lors prochaine visite a bientôt léquipe castorama,,,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.6908}",-0.6908,tres negatif,1,Vendeurs,0,Magasin
4550,7151,7151,2022-04-10 12:56:13,565c8ee23440cd4d3f4819c1,Castorama,2218.0,SUD,1444,17 chemin Du Carimaï,Le Cannet,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-04-11 4:00:17,Amélioration,,,,,,,FRENCH,service drive 2h honteux jeune charge livraison préfère pause fois revenu nargue baladant sans servir bravo,bonjour séb sincèrement désolés dû faire face cette situation espérons lors prochaine venue pourrez constater éléments négatifs corrigés plaisir accueillir prochainement hauteur attentes bonne journée léquipe castorama,,,"{'neg': 0.413, 'neu': 0.465, 'pos': 0.122, 'compound': -0.7074}",-0.7074,tres negatif,2,Vendeurs,2,livraison
4587,7208,7208,2022-04-10 6:31:41,60b4b0045e2746c742d19ade,Castorama  Jardinerie,2215.0,NOUVELLE AQUITAINE,1417,6 Chemin Des Barthes,Bayonne,GOOGLE_MY_BUSINESS,No,Europe/Paris,2.0,2022-04-20 10:27:56,,,,,,,,FRENCH,na jardinerie nom car si lon trouve beaucoup produit lextérieur manque lessentiel minimum plantes fleurs arbres là cest très décevant,bonjour monsieur bien jardinerie spécialité recherchez celle trouverez chez pépiniériste partiellement faute place présentant surtout plantation représentatives zone chalandise quelques arrivages darbres xxl échappés donc effectivement faisons toutes plantes regrettons souhaitons bonne journée fleurie léquipe jardinerie casto anglet,,,"{'neg': 0.308, 'neu': 0.692, 'pos': 0.0, 'compound': -0.762}",-0.762,tres negatif,1,Produits,0,Magasin
